ruta,lineas,main,class,plugin,tests,importado,ultima_mod,estado
core/voice/anker_pipeline.py,217,True,True,False,False,False,2026-07-26 19:15:38 +0200,dormido
core/voice/tts_piper.py,141,False,True,False,False,True,2026-07-26 19:15:38 +0200,activo
core/watchdog_funciones.py,283,True,True,False,False,True,2026-07-20 13:35:48 +0200,activo
docs/merge_resolution/test_api.py,87,False,False,False,False,False,2026-08-03 00:11:08 +0200,libreria
docs/merge_resolution/test_path_setup.py,53,False,False,False,False,False,2026-08-03 00:11:08 +0200,libreria
knowledge/__init__.py,2,False,False,False,False,True,2026-07-23 03:51:14 +0200,esbozo
knowledge/engine/__init__.py,128,False,False,False,False,True,2026-07-04 01:30:36 +0200,libreria
knowledge/engine/_compat.py,11,False,False,False,False,False,2026-08-04 11:21:20 +0200,esbozo
knowledge/engine/agent.py,233,False,True,False,False,False,2026-07-20 13:35:48 +0200,dormido
knowledge/engine/api.py,609,False,True,False,True,True,2026-07-22 19:20:30 +0200,activo
knowledge/engine/archiver.py,455,False,True,False,False,True,2026-08-02 02:17:48 +0200,activo
knowledge/engine/asset_store.py,310,False,True,False,False,False,2026-07-19 19:10:32 +0200,dormido
knowledge/engine/audit/__init__.py,17,False,False,False,False,True,2026-07-04 01:30:36 +0200,esbozo
knowledge/engine/audit/backend.py,53,False,True,False,False,True,2026-07-19 19:10:32 +0200,activo
knowledge/engine/audit/ndjson_backend.py,275,False,True,False,False,True,2026-07-22 19:16:17 +0200,activo
knowledge/engine/audit/service.py,180,False,True,False,False,True,2026-07-19 19:10:32 +0200,activo
knowledge/engine/audit/sqlite_backend.py,70,False,True,False,False,True,2026-07-19 19:10:32 +0200,activo
knowledge/engine/chunker.py,106,False,False,False,False,True,2026-08-04 02:29:07 +0200,libreria
knowledge/engine/cli/__init__.py,8,False,False,False,False,True,2026-07-04 01:30:36 +0200,esbozo
knowledge/engine/cli/__main__.py,8,False,False,False,False,True,2026-07-19 19:10:32 +0200,esbozo
knowledge/engine/cli/agent.py,37,False,False,False,False,False,2026-07-19 19:10:32 +0200,libreria
knowledge/engine/cli/api.py,37,False,False,False,True,True,2026-07-19 19:10:32 +0200,libreria
knowledge/engine/cli/archive.py,49,False,False,False,False,True,2026-07-19 19:10:32 +0200,libreria
knowledge/engine/cli/audit.py,124,False,False,False,False,True,2026-07-20 13:35:48 +0200,libreria
knowledge/engine/cli/compile.py,94,False,False,False,False,False,2026-07-30 04:03:04 +0200,libreria
knowledge/engine/cli/docs.py,21,False,False,False,False,True,2026-07-19 19:10:32 +0200,libreria
knowledge/engine/cli/doctor.py,69,False,False,False,False,True,2026-07-19 19:10:32 +0200,libreria
knowledge/engine/cli/feedback.py,37,False,False,False,False,True,2026-07-19 19:10:32 +0200,libreria
knowledge/engine/cli/jobs.py,14,False,False,False,False,True,2026-07-19 19:10:32 +0200,esbozo
knowledge/engine/cli/main.py,289,True,False,False,False,True,2026-08-04 12:41:04 +0200,activo
knowledge/engine/cli/metadata.py,137,False,False,False,False,True,2026-07-22 19:16:17 +0200,libreria
knowledge/engine/cli/notify.py,30,False,False,False,False,True,2026-07-19 19:10:32 +0200,libreria
knowledge/engine/cli/pipeline.py,20,False,False,False,False,False,2026-07-19 19:10:32 +0200,libreria
knowledge/engine/cli/rules.py,90,False,False,False,False,True,2026-07-22 19:16:17 +0200,libreria
knowledge/engine/cli/search.py,54,False,False,False,False,True,2026-07-30 04:01:37 +0200,libreria
knowledge/engine/compiler.py,485,False,False,False,False,True,2026-08-02 03:28:51 +0200,libreria
knowledge/engine/connection.py,77,False,False,False,False,False,2026-07-19 19:10:32 +0200,libreria
knowledge/engine/connection_pool.py,92,False,True,False,False,True,2026-07-19 19:10:32 +0200,activo
knowledge/engine/deduction.py,154,False,True,False,False,False,2026-08-02 03:30:17 +0200,dormido
